st patrick:		
Obs	J net	H_I
TEO	-1.72	72.13
SJG	-1.02	48.6845
GUI	-0.5	-62.6132
TAM	0.01	-65.8847
JAI	1.01	-132.0909
BMT	0.53	-95.6283
KAK	0.21	-44.0681
HON	0.37	46.526
TEO	-0.94	47.9071
SJG	-0.52	40.1686
GUI	-0.14	-44.3131
TAM	0.62	-73.4497
JAI	0.96	-131.5734
BMT	0.14	-97.0703
KAK	-0.05	-43.3486
HON	-0.02	45.5981
TEO	-0.37	72.2124
SJG	-0.36	44.971
GUI	0.36	-77.943
TAM	-0.24	-136.4765
JAI	1.11	-132.149
BMT	0.32	-56.0723
KAK	0.74	11.5442
HON	-0.76	94.4698
TEO	-0.36	27.2014
SJG	-0.41	13.0515
GUI	0.09	-63.5263
TAM	0.31	-73.9632
JAI	-0.19	-98.7906
BMT	0.56	-79.6879
KAK	0.49	-28.255
HON	-0.51	63.9204
TEO	-0.33	-12.5781
SJG	0.55	-35.0638
GUI	-0.06	-103.8097
TAM	0.2	-113.2236
JAI	0.5	-72.8325
BMT	0.49	-21.0973
KAK	0.32	32.6846
HON	-1.04	62.0351
TEO	0.06	-80.5
SJG	0.42	-82.2189
GUI	0.08	-79.3096
TAM	0.1	-73.9858
JAI	0.66	20.1252
BMT	0.02	66.3472
KAK	-1.31	73.0971
HON	-1.1	-3.8662
TEO	0.58	-122.9236
SJG	0.89	-86.377
GUI	0.52	19.4837
TAM	0.94	66.8564
JAI	0.17	88.4469
BMT	-1.98	55.8599
KAK	-1.98	41.657
HON	-0.1	-46.1151
